gene,correlation,pvalue,abs_corr
AC090587.1,0.007769226710613769,0.11311495449165826,0.007769226710613769
DAPK2,0.007769106460364282,0.11312053208831675,0.007769106460364282
TMEM69,0.007768407099825154,0.11315297499396516,0.007768407099825154
DNAJB13,0.007768234273739171,0.11316099341946756,0.007768234273739171
WNK3,0.007767181083472472,0.11320986682960635,0.007767181083472472
ANKRD20A1,0.007766443480909567,0.1132441052585325,0.007766443480909567
AC098850.3,0.007763049694815183,0.11340174496185584,0.007763049694815183
LAMC1,0.007762006312796808,0.11345024427137743,0.007762006312796808
DGKH,-0.007760258362453141,0.11353153049495107,0.007760258362453141
AC011247.2,0.00776013895163515,0.11353708521775653,0.00776013895163515
AC211476.2,0.0077554122753977,0.11375713155302972,0.0077554122753977
AC245884.8,0.0077542405468706485,0.11381173227598167,0.0077542405468706485
BHMT2,-0.007752466899486502,0.1138944207375668,0.007752466899486502
SLC22A3,0.007752295482498737,0.11390241480225746,0.007752295482498737
AC027343.3,0.007749354825238214,0.11403962173587046,0.007749354825238214
LDHAL6A,0.007749185938504716,0.11404750570280979,0.007749185938504716
AL583722.4,0.007745945893169484,0.11419884052778545,0.007745945893169484
GALNT16,0.007742683900054116,0.11435136011860797,0.007742683900054116
ROM1,0.007740924380813135,0.11443369572973436,0.007740924380813135
FOXD4L5,0.007740236754303634,0.11446588546221721,0.007740236754303634
CAMK1G,-0.007739225734354485,0.11451322709240526,0.007739225734354485
